iter	Passed	Remaining
889	13257	135702
890	13274	135708
891	13290	135710
892	13307	135711
893	13323	135708
894	13339	135705
895	13355	135703
896	13373	135714
897	13389	135709
898	13405	135707
899	13420	135700
900	13437	135697
901	13453	135700
902	13470	135708
903	13487	135707
904	13502	135697
905	13518	135696
906	13536	135711
907	13554	135720
908	13570	135720
909	13586	135717
910	13604	135727
911	13619	135718
912	13636	135718
913	13651	135711
914	13668	135713
915	13683	135697
916	13697	135671
917	13712	135662
918	13732	135697
919	13754	135749
920	13775	135796
921	13795	135827
922	13812	135830
923	13829	135841
924	13845	135831
925	13859	135813
926	13874	135796
927	13890	135790
928	13908	135808
929	13926	135824
930	13943	135827
931	13959	135822
932	13976	135824
933	13995	135847
934	14012	135858
935	14031	135877
936	14049	135891
937	14066	135900
938	14084	135905
939	14103	135932
940	14120	135940
941	14138	135951
942	14157	135978
943	14179	136026
944	14198	136046
945	14215	136057
946	14234	136076
947	14252	136090
948	14271	136115
949	14291	136147
950	14308	136153
951	14325	136147
952	14339	136129
953	14355	136119
954	14370	136109
955	14385	136088
956	14399	136061
957	14412	136034
958	14426	136007
959	14440	135985
960	14455	135964
961	14470	135949
962	14484	135925
963	14498	135902
964	14513	135882
965	14527	135861
966	14542	135845
967	14557	135829
968	14572	135816
969	14587	135803
970	14603	135788
971	14617	135771
972	14631	135742
973	14645	135723
974	14660	135702
975	14675	135686
976	14688	135655
977	14703	135643
978	14718	135626
979	14734	135614
980	14748	135595
981	14762	135571
982	14777	135549
983	14792	135535
984	14808	135529
985	14823	135518
986	14837	135494
987	14853	135482
988	14868	135473
989	14884	135460
990	14899	135448
991	14914	135437
992	14929	135413
993	14943	135391
994	14958	135381
995	14974	135368
996	14989	135353
997	15003	135331
998	15017	135310
999	15030	135274
1000	15045	135255
1001	15058	135222
1002	15071	135196
1003	15086	135179
1004	15102	135168
1005	15117	135151
1006	15132	135141
1007	15147	135125
1008	15160	135095
1009	15174	135069
1010	15188	135042
1011	15203	135025
1012	15218	135011
1013	15232	134985
1014	15247	134974
1015	15262	134958
1016	15277	134940
1017	15291	134916
1018	15304	134888
1019	15318	134860
1020	15334	134859
1021	15349	134837
1022	15362	134812
1023	15376	134788
1024	15391	134770
1025	15406	134752
1026	15420	134732
1027	15434	134710
1028	15448	134684
1029	15462	134659
1030	15476	134634
1031	15489	134605
1032	15503	134581
1033	15519	134569
1034	15532	134542
1035	15546	134513
1036	15559	134481
1037	15573	134457
1038	15586	134427
1039	15600	134403
1040	15614	134379
1041	15629	134366
1042	15646	134365
1043	15660	134343
1044	15675	134332
1045	15692	134330
1046	15708	134322
1047	15722	134302
1048	15736	134275
1049	15749	134246
1050	15762	134214
1051	15776	134187
1052	15789	134161
1053	15803	134133
1054	15817	134112
1055	15833	134101
1056	15849	134095
1057	15863	134074
1058	15880	134078
1059	15896	134072
1060	15910	134047
1061	15923	134012
1062	15936	133987
1063	15950	133964
1064	15967	133959
1065	15984	133961
1066	15998	133937
1067	16011	133910
1068	16024	133879
1069	16038	133855
1070	16052	133832
1071	16065	133802
1072	16079	133778
1073	16093	133750
1074	16108	133740
1075	16125	133742
1076	16144	133760
1077	16161	133761
1078	16179	133772
1079	16193	133749
1080	16210	133750
1081	16230	133771
1082	16246	133765
1083	16265	133787
1084	16279	133761
1085	16292	133730
1086	16306	133707
1087	16323	133705
1088	16340	133707
1089	16354	133687
1090	16370	133681
1091	16385	133663
1092	16399	133644
1093	16414	133623
1094	16427	133596
1095	16441	133569
1096	16454	133540
1097	16468	133519
1098	16481	133488
1099	16495	133464
1100	16508	133432
1101	16521	133400
1102	16534	133374
1103	16548	133347
1104	16561	133319
1105	16575	133294
1106	16588	133262
1107	16601	133232
1108	16614	133204
1109	16628	133174
1110	16641	133149
1111	16656	133130
1112	16669	133101
1113	16682	133071
1114	16696	133043
1115	16708	133010
1116	16722	132990
1117	16736	132962
1118	16750	132938
1119	16763	132908
1120	16776	132882
1121	16790	132856
1122	16805	132842
1123	16819	132816
1124	16832	132793
1125	16849	132791
1126	16865	132782
1127	16879	132761
1128	16896	132762
1129	16910	132743
1130	16925	132722
1131	16939	132702
1132	16956	132706
1133	16971	132690
1134	16984	132662
1135	16999	132646
1136	17014	132625
1137	17028	132606
1138	17042	132581
1139	17055	132554
1140	17069	132532
1141	17085	132526
1142	17099	132505
1143	17112	132473
1144	17127	132455
1145	17147	132478
1146	17161	132456
1147	17176	132444
1148	17190	132424
1149	17203	132392
1150	17217	132371
1151	17231	132343
1152	17244	132320
1153	17258	132293
1154	17273	132276
1155	17286	132247
1156	17299	132223
1157	17312	132194
1158	17326	132167
1159	17339	132137
1160	17353	132114
1161	17365	132078
1162	17381	132073
1163	17396	132061
1164	17414	132062
1165	17432	132072
1166	17448	132068
1167	17461	132041
1168	17476	132021
1169	17490	131998
1170	17504	131977
1171	17518	131953
1172	17532	131934
1173	17546	131911
1174	17561	131895
