iter	Passed	Remaining
849	14434	155382
850	14451	155364
851	14469	155356
852	14478	155261
853	14494	155235
854	14501	155103
855	14517	155078
856	14534	155066
857	14539	154917
858	14555	154888
859	14571	154869
860	14589	154855
861	14606	154843
862	14623	154823
863	14640	154808
864	14656	154783
865	14673	154767
866	14683	154672
867	14699	154651
868	14714	154616
869	14730	154590
870	14747	154571
871	14764	154554
872	14781	154538
873	14803	154569
874	14825	154607
875	14842	154587
876	14859	154573
877	14863	154428
878	14880	154409
879	14897	154389
880	14913	154370
881	14931	154356
882	14947	154338
883	14963	154304
884	14979	154280
885	14996	154260
886	15002	154137
887	15008	154009
888	15024	153983
889	15042	153970
890	15058	153945
891	15074	153926
892	15091	153902
893	15107	153880
894	15124	153865
895	15141	153851
896	15158	153835
897	15175	153817
898	15191	153787
899	15208	153773
900	15225	153757
901	15231	153634
902	15248	153620
903	15265	153604
904	15282	153583
905	15300	153582
906	15316	153553
907	15332	153531
908	15351	153528
909	15367	153506
910	15383	153485
911	15401	153473
912	15417	153451
913	15434	153431
914	15453	153435
915	15469	153413
916	15487	153403
917	15504	153389
918	15521	153371
919	15537	153349
920	15554	153328
921	15570	153309
922	15587	153289
923	15604	153270
924	15620	153253
925	15637	153230
926	15653	153209
927	15660	153092
928	15676	153074
929	15694	153061
930	15710	153040
931	15728	153033
932	15744	153005
933	15760	152985
934	15777	152967
935	15794	152945
936	15811	152930
937	15832	152958
938	15853	152979
939	15869	152958
940	15886	152943
941	15902	152916
942	15919	152897
943	15936	152878
944	15952	152852
945	15969	152838
946	15985	152817
947	16003	152805
948	16019	152781
949	16035	152761
950	16052	152743
951	16068	152720
952	16086	152715
953	16103	152699
954	16123	152710
955	16140	152693
956	16157	152673
957	16174	152662
958	16191	152642
959	16207	152622
960	16223	152594
961	16239	152574
962	16256	152555
963	16272	152529
964	16289	152518
965	16305	152490
966	16322	152472
967	16339	152459
968	16356	152442
969	16367	152366
970	16383	152345
971	16400	152327
972	16416	152304
973	16432	152282
974	16450	152271
975	16467	152256
976	16483	152235
977	16500	152217
978	16517	152200
979	16534	152181
980	16550	152159
981	16566	152138
982	16583	152119
983	16600	152106
984	16617	152083
985	16634	152070
986	16651	152054
987	16668	152040
988	16685	152023
989	16702	152005
990	16720	151999
991	16736	151982
992	16753	151958
993	16769	151938
994	16787	151926
995	16802	151899
996	16819	151884
997	16836	151869
998	16859	151906
999	16880	151927
1000	16898	151913
1001	16914	151894
1002	16931	151875
1003	16947	151856
1004	16964	151836
1005	16981	151820
1006	16997	151799
1007	17015	151788
1008	17032	151768
1009	17048	151745
1010	17064	151728
1011	17082	151714
1012	17100	151706
1013	17117	151695
1014	17134	151674
1015	17151	151659
1016	17168	151642
1017	17185	151628
1018	17201	151606
1019	17218	151589
1020	17235	151575
1021	17253	151564
1022	17269	151545
1023	17285	151521
1024	17301	151496
1025	17318	151478
1026	17335	151458
1027	17351	151438
1028	17368	151420
1029	17385	151406
1030	17402	151387
1031	17419	151370
1032	17435	151352
1033	17452	151333
1034	17469	151318
1035	17486	151299
1036	17503	151284
1037	17520	151267
1038	17536	151245
1039	17551	151214
1040	17568	151198
1041	17585	151182
1042	17602	151165
1043	17619	151152
